guid,seq,first,last,age,birthday,email,street,city,state,zip,dollar,pick
3aa57d3d-d8c4-5c42-8d18-81c666ba50db,1,Adrian,Meyer,23,12/7/1965,ut@ejoeke.gov,Moca Extension,Onamovi,MO,50829,$4891.48,BLUE
5e27d5cb-1063-56d6-b71e-c1a68a231d20,2,Inez,Soto,18,4/3/1992,pucrinol@hilwozet.com,Gema Path,Guwabfof,OK,93220,$3155.29,YELLOW
2290fd5a-ed59-5a49-b74f-ada48395931c,3,Alma,French,29,10/6/1960,pacaca@zofho.com,Veizo Place,Nezhuwra,OH,09298,$4336.79,RED
64649f58-e018-51d3-88a3-0e5e3642d78b,4,Landon,Salazar,19,4/14/1994,pezpew@asuru.io,Wawam Trail,Vegetot,KY,93218,$7094.13,BLUE
a27f2a3b-2345-5c3b-8fa1-96f4bdc7214c,5,Jeffrey,Christensen,22,3/11/1971,co@rasucze.edu,Comre Center,Gijewug,OR,55433,$5457.79,RED
83b2bf7b-8d35-5feb-a0db-3dd8f23e2804,6,Gavin,McDonald,65,6/27/1985,kugebat@seg.org,Fime Pass,Kuodirep,NJ,02221,$178.38,RED
7a884c16-ac7a-50ab-ade8-377c161c7679,7,Norman,Walton,27,6/1/1976,ramecik@mig.io,Tutuz River,Olcogul,UT,88436,$2381.98,YELLOW
cef02583-3b3f-5da4-969f-64b049b19ef3,8,Essie,Harmon,38,12/25/1992,fagale@nen.gov,Funec Place,Gegkovag,MS,05784,$3162.06,YELLOW
c3b2125f-6158-5a3f-89f1-92907e4553ab,9,Rosetta,Gilbert,19,9/5/1992,hew@ta.com,Piwil Pike,Biwgoctum,GA,42501,$1902.97,RED
4367872e-cc23-57d2-a224-5fec49afc2b6,10,Delia,Swanson,41,3/1/1954,keewpaz@uhada.org,Ulhe Pike,Zoreke,LA,23503,$6082.17,WHITE

